Point,Zone,Probe,DAS,Date,depth_5,depth_15,depth_25,depth_35,depth_45,depth_55,depth_65,depth_75,depth_85,Neutron_depth_5,Neutron_depth_15,Neutron_depth_25,Neutron_depth_35,Neutron_depth_45,Neutron_depth_55,Neutron_depth_65,Neutron_depth_75,Neutron_depth_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,93,16-Mar,6.411625167,20.20097,14.18780625,18.89364583,31.92820833,40.03191479,46.10732833,51.2257725,54.78067146,5.860225403,18.46368658,12.96765491,17.26879229,29.18238241,36.58917012,42.14209809,46.82035607,50.06953371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,94,17-Mar,12.18876042,19.77287,13.86097375,18.22068625,31.46849833,39.01170375,45.03253771,50.46827313,54.695815,11.14052702,18.07240318,12.66893001,16.65370723,28.76220747,35.65669723,41.15973947,46.12800164,49.99197491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,95,18-Mar,12.28534125,19.16675938,13.05940354,17.24900604,30.67283854,37.51709188,43.46089479,49.4465275,54.54182,11.2288019,17.51841807,11.93629484,15.76559152,28.03497443,34.29062198,39.72325784,45.19412614,49.85122348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,96,19-Mar,11.41479708,18.95059167,12.35864771,16.36624979,29.66131813,36.08194,41.98601438,48.21010188,54.31038854,10.43312453,17.32084079,11.29580401,14.95875231,27.11044477,32.97889316,38.37521714,44.06403312,49.63969513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,97,20-Mar,11.0413375,18.91928104,11.99667417,15.89769271,28.95455333,35.16238813,40.91442958,47.26339646,54.08000833,10.09178248,17.29222287,10.96496019,14.53049114,26.46446174,32.13842275,37.39578864,43.19874436,49.42912761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,98,21-Mar,17.85743208,18.78576021,11.61960125,15.55363375,28.59323854,34.51552146,40.12268875,46.58298521,53.93666958,16.32169292,17.17018483,10.62031554,14.21602125,26.13422003,31.54718661,36.67213752,42.57684848,49.298116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,99,22-Mar,21.31192833,17.18191354,10.67224563,15.22085021,28.44135333,34.2038225,39.51908958,46.13504417,53.86671979,19.47910249,15.70426898,9.754432506,13.91185709,25.99539694,31.26229377,36.12044788,42.16743037,49.23418189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,100,23-Mar,22.08501208,16.83420833,9.959707479,14.52487208,28.07156042,33.76959667,38.69407792,45.41923771,53.74177604,20.18570104,15.38646641,9.103172636,13.27573308,25.65740622,30.86541136,35.36638722,41.51318327,49.1199833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,101,24-Mar,23.49272521,17.12163938,9.184235063,13.49460979,27.20443479,33.12372229,37.59615792,44.17775083,53.54934417,21.47235084,15.64917839,8.394390848,12.33407335,24.8648534,30.27508217,34.36288834,40.37846426,48.94410057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,102,25-Mar,22.06290833,17.61576688,8.99615725,12.94633229,26.20281354,32.27431208,36.44362854,42.82413313,53.32294854,20.16549821,16.10081093,8.222487727,11.83294771,23.94937158,29.49872124,33.30947649,39.14125768,48.73717497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
